ENTITY,GROUPS,FAMILY,FAMILY_CS,CROSS_SECTION_MM,FIXATION,SPOOL_TYPE,RM,LME_PROJECTS,LME_SALES,BASIC_LME,UNIT_PRICE,MONTH,MONTH_NAME,QTY_KM,RC_KG,CC_KG,ES_MM,AV_INDEX,TOTAL_AMOUNT,ADDED_VALUE
COFICAB Kenitra,APTIV,A3Z-P     ,A3ZP0100,100,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,105.51693200000001,1,Jan,322.589,2713.8571201548875,2709.7476,322.589,5890.4751400000005,34038.601576948,1004.3000000000001
COFICAB Kenitra,APTIV,A3Z-P     ,A3ZP0150,150,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,159.75049,1,Jan,1592.2,19523.760597020937,20698.6,2388.3,39343.262,254354.73017800003,9241.54
COFICAB Kenitra,APTIV,A3Z-P     ,A3ZP0200,200,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,204.65754499999997,1,Jan,697.027,11467.47730599785,11500.9455,1394.054,23183.118019999998,142651.834618715,7483.5
COFICAB Kenitra,APTIV,A3Z-P     ,A3ZP0250,250,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,262.28006,1,Jan,1204.379,24577.143549924516,26496.338,3010.9475,40647.79125,315884.59638274,14310.0
COFICAB Kenitra,APTIV,A3Z-P     ,A3ZP0300,300,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,330.22871,1,Jan,14.104,360.6788615537865,380.808,42.312,701.81504,4657.54572584,348.32
COFICAB Kenitra,APTIV,A3Z-P     ,A3ZP0400,400,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,433.05828,1,Jan,32.314,1064.4173797724447,1163.304,129.256,1909.7574,13993.84525992,1241.1000000000001
COFICAB Kenitra,APTIV,A3Z-P     ,A3ZP0500,500,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,539.5478499999999,1,Jan,104.193,4094.872196041096,4688.685,520.965,7512.315299999999,56217.10913504999,5119.099999999999
COFICAB Kenitra,APTIV,A3Z-P     ,A3ZP0600,600,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,648.51742,1,Jan,455.272,22499.89852603431,24584.688000000002,2731.632,39872.72176,295251.82283824,34681.68
COFICAB Kenitra,APTIV,A3Z-P     ,A3ZP0700,700,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,767.90699,1,Jan,24.184,1379.7081631938513,1523.592,169.288,2744.40032,18571.06264616,3517.88
COFICAB Kenitra,APTIV,A3ZP      ,A3ZP0050,50,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,57.856012,1,Jan,306.198,1294.6090105446087,1347.2712000000001,153.099,3720.3057,17715.395162376,376.65000000000003
COFICAB Kenitra,APTIV,A3ZP      ,A3ZP0075,75,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,85.60656399999999,1,Jan,1407.717,8910.107589255535,9572.4756,1055.78775,21073.52349,120509.815454388,2694.6
COFICAB Kenitra,APTIV,A3ZP      ,A3ZP0100,100,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,105.51693200000001,1,Jan,222.027,1867.8552424807704,1865.0268,222.027,4054.21302,23427.607861164004,712.1400000000001
COFICAB Kenitra,APTIV,A3ZP      ,A3ZP0150,150,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,159.75049,1,Jan,210.375,2579.645230246376,2734.875,315.5625,5198.36625,33607.50933375,1235.5
COFICAB Kenitra,APTIV,A3ZP      ,A3ZP0200,200,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,204.65754499999997,1,Jan,357.48199999999997,5881.288274776621,5898.4529999999995,714.964,11889.85132,73161.38850168999,3858.16
COFICAB Kenitra,APTIV,A3ZP      ,A3ZP0250,250,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,262.28006,1,Jan,561.274,11453.63018521606,12348.028,1403.185,18942.9975,147210.97839643998,6648.75
COFICAB Kenitra,APTIV,A3ZP      ,A3ZP0300,300,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,330.22871,1,Jan,97.456,2492.223421127752,2631.312,292.368,4849.41056,32182.76916176,2438.24
COFICAB Kenitra,APTIV,A3ZP      ,A3ZP0400,400,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,433.05828,1,Jan,266.471,8777.507074498457,9592.956,1065.884,15748.4361,115397.47292988001,10106.1
COFICAB Kenitra,APTIV,A3ZP      ,A3ZP0500,500,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,539.5478499999999,1,Jan,105.761,4156.495909758835,4759.245,528.805,7625.3681,57063.12016384999,5479.599999999999
COFICAB Kenitra,APTIV,A3ZP      ,A3ZP0700,700,M-1,PRODUCED,PP,LME Forward 3M(M-1) + 332€ APTIV,10.38773,10.05573,767.90699,1,Jan,82.21600000000001,4690.460070507182,5179.608,575.5120000000001,9329.87168,63134.24108984,11688.44
COFICAB Kenitra,APTIV,B2M       ,B2MSN013,13,M-1,PRODUCED,PVC,LME CASH M-1 + 315$ + 1% + 122€ APTIV,10.57458,10.08095,22.549495999999998,1,Jan,2842.981,3353.977712903177,3411.5771999999997,369.58753,28031.79266,64107.788687575994,2110.04
